config	inst	time	count	best	spr	hv	gd	invgd	eps	gspr	
nsga5k2x	WAMS	146849	90	0.0143	0.6556	0.5395	0.0045	0.0036	336.9552	0.7369	
nsga5k2x	WAMS	146664	80	0.0071	0.6006	0.5427	0.0041	0.0041	441.6999	0.6794	
nsga5k2x	WAMS	147563	95	0.0071	0.6519	0.5323	0.0042	0.0047	836.0814	0.6951	
nsga5k2x	WAMS	142186	84	0.0143	0.6118	0.5218	0.0052	0.0058	1611.8585	0.6848	
nsga5k2x	WAMS	142087	71	0.0071	0.5934	0.5304	0.0057	0.0036	1160.6349	0.5414	
nsga5k2x	WAMS	142693	83	0.0214	0.6290	0.5389	0.0047	0.0032	482.5426	0.7463	
nsga5k2x	WAMS	141695	84	0.0571	0.5987	0.5548	0.0033	0.0058	281.7112	0.7191	
nsga5k2x	WAMS	141981	80	0.0000	0.6947	0.5270	0.0052	0.0047	1058.3608	0.7359	
nsga5k2x	WAMS	141382	80	0.0214	0.6444	0.5377	0.0045	0.0038	630.6014	0.6389	
nsga5k2x	WAMS	140895	75	0.0286	0.5817	0.5402	0.0048	0.0031	807.5821	0.6751	
nsga5k2x	WAMS	141790	88	0.0071	0.6121	0.5386	0.0046	0.0039	820.6690	0.7173	
nsga5k2x	WAMS	142159	76	0.0000	0.6241	0.5321	0.0053	0.0035	554.5701	0.5933	
nsga5k2x	WAMS	143200	105	0.0500	0.6055	0.5484	0.0034	0.0026	290.0628	0.7033	
nsga5k2x	WAMS	143092	81	0.0357	0.5932	0.5372	0.0044	0.0054	1055.4871	0.6672	
nsga5k2x	WAMS	143104	78	0.0000	0.6703	0.5413	0.0041	0.0034	488.6504	0.7618	
nsga5k2x	WAMS	143094	85	0.0214	0.6973	0.5381	0.0045	0.0041	611.9480	0.7515	
nsga5k2x	WAMS	141951	79	0.0071	0.6269	0.5304	0.0053	0.0045	973.7737	0.6712	
nsga5k2x	WAMS	142161	77	0.0286	0.6155	0.5369	0.0049	0.0039	449.8722	0.7292	
nsga5k2x	WAMS	142913	66	0.0214	0.6192	0.5392	0.0051	0.0045	417.9789	0.6894	
nsga5k2x	WAMS	141857	94	0.0071	0.7166	0.5331	0.0048	0.0039	642.8469	0.7228	
nsga5k2x	WAMS	143030	87	0.0000	0.6974	0.5322	0.0045	0.0050	750.1935	0.7734	
nsga5k2x	WAMS	142249	75	0.0571	0.6664	0.5395	0.0045	0.0036	496.4596	0.7148	
nsga5k2x	WAMS	142458	85	0.0071	0.5983	0.5266	0.0050	0.0042	1194.3989	0.6608	
nsga5k2x	WAMS	143247	85	0.0214	0.7448	0.5345	0.0046	0.0041	1006.0800	0.8248	
nsga5k2x	WAMS	142323	78	0.0357	0.5889	0.5457	0.0043	0.0046	466.0689	0.6886	
nsga5k2x	WAMS	142652	98	0.0000	0.6165	0.5347	0.0042	0.0035	650.8582	0.6461	
nsga5k2x	WAMS	142707	84	0.0214	0.5293	0.5307	0.0047	0.0036	1127.5593	0.5750	
nsga5k2x	WAMS	141629	95	0.0143	0.6507	0.5396	0.0044	0.0035	66.1356	0.5702	
nsga5k2x	WAMS	142270	90	0.0214	0.6669	0.5348	0.0045	0.0072	722.2153	0.7663	
nsga5k2x	WAMS	142024	89	0.0143	0.5800	0.5271	0.0046	0.0044	1411.7783	0.5939	
nsga5k2x	WAMS	142867	90	0.0143	0.5919	0.5334	0.0050	0.0032	555.4714	0.6225	
nsga5k2x	WAMS	142008	98	0.0143	0.6951	0.5263	0.0050	0.0038	899.2867	0.6365	
nsga5k2x	WAMS	143122	95	0.0143	0.6323	0.5362	0.0045	0.0055	617.6188	0.7223	
nsga5k2x	WAMS	142209	97	0.0357	0.6365	0.5421	0.0045	0.0031	10.8000	0.6185	
nsga5k2x	WAMS	142274	85	0.0071	0.5804	0.5403	0.0038	0.0040	568.2412	0.6190	
